Sales Person,Country,Product,Date,Amount,Boxes Shipped
Jehu Rudeforth,UK,Mint Chip Choco,2024-01-04,6339.57,187
Van Tuxwell,India,85% Dark Bars,2024-08-01,9005.87,90
Gigi Bohling,India,Peanut Butter Cubes,2024-07-07,5159.07,87
Jan Morforth,Australia,Peanut Butter Cubes,2024-04-27,13370.97,349
Jehu Rudeforth,UK,Peanut Butter Cubes,2024-02-24,14791.64,182
Van Tuxwell,India,Smooth Sliky Salty,2024-06-06,6429.35,40
Oby Sorrel,UK,99% Dark & Pure,2024-01-25,15900.6,188
Gunar Cockshoot,Australia,After Nines,2024-03-24,3400.26,77
Jehu Rudeforth,New Zealand,50% Dark Bites,2024-04-20,4357.76,63
Brien Boise,Australia,99% Dark & Pure,2024-07-04,3356.17,111
Rafaelita Blaksland,UK,Smooth Sliky Salty,2024-01-13,5287.86,67
Barr Faughny,USA,Orange Choco,2024-03-10,4244.36,11
Mallorie Waber,Canada,Eclairs,2024-01-13,1671.64,277
Karlen McCaffrey,New Zealand,Drinking Coco,2024-07-28,181.84,167
Marney O'Breen,New Zealand,Peanut Butter Cubes,2024-08-03,8950.59,189
Beverie Moffet,Australia,Organic Choco Syrup,2024-01-26,7271.76,385
Van Tuxwell,Canada,Organic Choco Syrup,2024-02-14,4864.83,42
Roddy Speechley,USA,Smooth Sliky Salty,2024-04-05,3175.11,149
Beverie Moffet,Canada,Milk Bars,2024-02-16,10137.79,250
Curtice Advani,UK,85% Dark Bars,2024-06-08,1206.95,174
Brien Boise,Australia,Eclairs,2024-06-27,8222.65,92
Gunar Cockshoot,USA,Spicy Special Slims,2024-02-17,1440.85,152
Marney O'Breen,USA,After Nines,2024-05-30,5611.65,159
Husein Augar,UK,Drinking Coco,2024-03-14,3562.44,111
Kaine Padly,Australia,Eclairs,2024-02-28,8385.26,122
Karlen McCaffrey,India,Fruit & Nut Bars,2024-01-26,181.31,330
Roddy Speechley,Canada,Spicy Special Slims,2024-02-09,1800.27,191
Husein Augar,USA,Eclairs,2024-07-07,4449.37,113
Dennison Crosswaite,New Zealand,White Choc,2024-07-05,10113.4,155
Dennison Crosswaite,New Zealand,Manuka Honey Choco,2024-06-15,5932.84,303
Van Tuxwell,New Zealand,85% Dark Bars,2024-05-24,2006.71,124
Rafaelita Blaksland,UK,99% Dark & Pure,2024-06-29,14086.69,157
Wilone O'Kielt,Australia,Manuka Honey Choco,2024-05-11,4799.54,90
Karlen McCaffrey,UK,Almond Choco,2024-06-30,8101.98,138
Andria Kimpton,Canada,After Nines,2024-05-11,2321.97,71
Roddy Speechley,USA,Manuka Honey Choco,2024-07-22,10245.0,329
Andria Kimpton,UK,50% Dark Bites,2024-08-24,2930.4,344
Kelci Walkden,New Zealand,After Nines,2024-07-07,170.24,75
Camilla Castle,Australia,85% Dark Bars,2024-05-19,4247.49,14
Karlen McCaffrey,India,Manuka Honey Choco,2024-07-04,2696.1,605
Kelci Walkden,USA,After Nines,2024-06-02,1083.76,16
Karlen McCaffrey,USA,Raspberry Choco,2024-04-15,17037.09,347
Mallorie Waber,Canada,Choco Coated Almonds,2024-07-11,5706.43,247
Andria Kimpton,India,Spicy Special Slims,2024-02-23,6682.34,139
Madelene Upcott,Canada,Almond Choco,2024-08-22,8192.6,100
Kaine Padly,USA,Peanut Butter Cubes,2024-02-16,7568.16,206
Van Tuxwell,USA,50% Dark Bites,2024-01-13,10772.33,156
Curtice Advani,Australia,Milk Bars,2024-02-14,7467.12,18
Roddy Speechley,India,Eclairs,2024-06-10,4985.9,311
Curtice Advani,India,Fruit & Nut Bars,2024-07-07,5693.6,177
Curtice Advani,Canada,Almond Choco,2024-03-24,5879.1,75
Brien Boise,Australia,Fruit & Nut Bars,2024-06-06,9771.93,22
Dotty Strutley,Australia,Drinking Coco,2024-07-19,105.06,140
Beverie Moffet,USA,Raspberry Choco,2024-04-19,16414.69,80
Marney O'Breen,India,85% Dark Bars,2024-07-19,2553.41,183
Jehu Rudeforth,Canada,Drinking Coco,2024-07-15,473.99,25
Ches Bonnell,New Zealand,Spicy Special Slims,2024-02-14,3873.98,19
Brien Boise,Canada,99% Dark & Pure,2024-05-18,17718.25,430
Barr Faughny,Australia,Fruit & Nut Bars,2024-06-30,16572.07,57
Andria Kimpton,Australia,50% Dark Bites,2024-06-02,5220.19,216
Andria Kimpton,Australia,Drinking Coco,2024-06-28,1797.26,49
Marney O'Breen,Australia,Organic Choco Syrup,2024-05-16,295.62,182
Kelci Walkden,Canada,Baker's Choco Chips,2024-05-26,3597.37,288
Karlen McCaffrey,India,Almond Choco,2024-07-06,6580.43,147
Oby Sorrel,India,99% Dark & Pure,2024-05-27,12232.97,11
Wilone O'Kielt,Australia,Caramel Stuffed Bars,2024-04-14,2243.44,11
Van Tuxwell,Australia,Organic Choco Syrup,2024-08-10,22943.37,14
Camilla Castle,India,50% Dark Bites,2024-07-04,10590.61,430
Oby Sorrel,India,Organic Choco Syrup,2024-07-08,6468.82,59
Jan Morforth,USA,Peanut Butter Cubes,2024-07-22,10463.57,109
Gigi Bohling,USA,Choco Coated Almonds,2024-03-02,14154.35,105
Gigi Bohling,UK,Almond Choco,2024-01-10,6031.14,9
Jehu Rudeforth,New Zealand,White Choc,2024-03-11,3308.4,258
Andria Kimpton,New Zealand,Peanut Butter Cubes,2024-06-20,1119.94,283
Van Tuxwell,UK,Organic Choco Syrup,2024-08-26,2303.39,222
Roddy Speechley,Canada,Milk Bars,2024-07-13,723.37,33
Camilla Castle,USA,Spicy Special Slims,2024-02-11,1413.64,261
Marney O'Breen,USA,Orange Choco,2024-01-27,9001.89,193
